Close,Timestamp,High,Low,Open
244,1424304000,244,225,225
240.25,1424390400,245,240.25,240.25011809
245,1424476800,245,245,245
235,1424563200,249,235,245
235,1424649600,235.001,235,235.00000236
239.75,1424736000,239.75,235,235
237.75,1424822400,239.75,237.75,239.75
238.5,1424908800,239.79999999,237.75,237.75
249,1424995200,249,238.49999999,238.49999999
240.00006025,1425081600,251,240,240
251,1425168000,251,240.0001205,240.0001205
269,1425254400,269,251,252
267.21999999,1425340800,274.5,255,268
280,1425427200,280.00000001,258.87499998,258.87499998
257.00012,1425513600,280.89,257,257
260,1425600000,271.00199999,260,269.00014063
260.00000522,1425686400,260.00000522,260.00000522,260.00000522
260.00003101,1425772800,275.002,260.000031,265
264.00000533,1425859200,285,260.00003101,260.00003101
291,1425945600,291,264.00006385,264.00006385
276.00000001,1426032000,292.95011129,276.00000001,279.00010602
276.00000112,1426118400,289.00010602,276,289.00010602
275.11000009,1426204800,300.99999959,275.11000009,276.00000111
275.10000036,1426291200,275.1100001,275.1,275.1100001
282.10800036,1426377600,282.10800036,275.1,275.10000036
275,1426464000,300.9999995,275,300.9999995
275.00000003,1426550400,275.00000003,275.00000003,275.00000003
262.09000001,1426636800,282.00000001,262.09000001,275.00000009
264.84631516,1426723200,267.01000006,248.82158047,267.01000006
263.56083094,1426809600,267.97667574,254.82343263,254.89895127
263.19298262,1426896000,263.56083094,254.69135706,263.56083094
267.51684843,1426982400,267.51684843,263.77341,265.13784797
260.67351138,1427068800,274.29809789,260.67351138,270.32946018
242.52550736,1427155200,271.59604827,242.5255,263.01895538
247.47551488,1427241600,273,247.47551488,272.99999999
242.5255,1427328000,251.36855193,242.5255,251.36855193
253.3527,1427414400,253.3527,242.91750001,253.22011045
248.72849578,1427500800,258.88067929,243.6819,243.68190247
247.96933001,1427587200,252.0705,247.96933001,252.0705
254.35279355,1427673600,254.35279355,242.52550001,242.52550001
249.33852966,1427760000,253.7301,242.5255,253.5414
249,1427846400,250,239.87000019,239.87000019
255,1427932800,255,229.00000001,245.47586455
255,1428019200,255,253.5,253.5
254.42717667,1428105600,254.42717667,248.9973997,252.58700541
254.69622183,1428192000,262.66977114,252.07634469,252.07634469
254.69622183,1428278400,254.69622183,254.69622183,254.69622183
253.116,1428364800,257.80755,252.10286502,253.88325
248.28703147,1428451200,268,245.691,251.4816875
